Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
"18931705150";"Mini Processador Triturador Sem Fio Elétrico 250ML De Alimentos Para Legumes Alho Gengibre";"R$14,92";"36,3mil";"RISESHOP_brasil";"7%"";"R$1,04";"https://shopee.com.br/product/832036467/18931705150";"https://s.shopee.com.br/40QOE9EGQN"
"18198771437";"Mini Liquidificador Portátil Shake 6 Laminas + Cabo USB;"R$23,69";"164,5mil";"tangshop_brasil";"3%";"R$0,71";"https://shopee.com.br/product/1041517511/18198771437;"https://s.shopee.com.br/5AcLcI9p3c"
"21298769599";"Mini Maquina Costura Portátil Elétrica + Pedal Bivolt 110v-220v;"R$64,98";"168,1mil";"tangshop_brasil";"3%";"R$1,95";"https://shopee.com.br/product/1041517511/21298769599;"https://s.shopee.com.br/50IvPzASOb"
"19797656056";"400ML 6 Lâminas Espremedor Elétrico Mini Liquidificador Portátil De Suco De Alimentos Misturador Leite Smoothie;"R$30,77";"42,3mil";"POP YO";"3%";"R$0,92";"https://shopee.com.br/product/1141434114/19797656056;"https://s.shopee.com.br/4pzVDgB5ja"
"23496910967";"Projetor de luz com bluetooth noturna de astronauta para galáxia luz noturna estrelada projetor de luz de teto;"R$63,99";"17,8mil";"LEGAL PLUS";"7,5%";"R$4,48";"https://shopee.com.br/product/1027415014/23496910967;"https://s.shopee.com.br/4fg51NBj4Z"
"23492630391";"Régua Filtro de Linha com 7 Tomadas Extensão Elétrica 1 Universal 4 USB Bivolt 10A 110v/220v Cabo de 2 Metros Seguro e confiável;"R$36,99";"24,1mil";"FENG .";"7%";"R$2,59";"https://shopee.com.br/product/728534865/23492630391;"https://s.shopee.com.br/3ArHEcHR7I"
"20199206047";""Fritadeira Air Fryer Britânia 4,2L 1500W BFR38 Dura Mais";"R$399,90";"55,8mil";"Bella Casa Eletro";"3%";"R$12,00";"https://shopee.com.br/product/811879342/20199206047;"https://s.shopee.com.br/30Xr2JI4SH"
"18014380019";"Suporte para Tv Articulado Tv Monitor Led Lcd Plasma 15 20 22 27 29 32 39 40 42 43 47 49 50 52 55 Polegadas;"R$39,47";"30,7mil";"Vendas Zn";"13%";"R$5,13";"https://shopee.com.br/product/340079166/18014380019;"https://s.shopee.com.br/2qEQq0IhnG"
"22893267601";"Ventilador 105cm-130cm Ajuste De Altura Livremente 110v 220v Ventilador--Envio imediato;"R$178,98";"12,3mil";"BOMM FAMILIA";"3%";"R$5,37";"https://shopee.com.br/product/979724994/22893267601;"https://s.shopee.com.br/2fv0dhJL8F"
"20399304665";"Mini Aspirador De Pó Robô Automático Inteligente Doméstico E Recarregável;"R$44,99";"9,3mil";"Kaymon";"3%";"R$1,35";"https://shopee.com.br/product/397082154/20399304665;"https://s.shopee.com.br/3q6y1qEtlU"
"22197426569";"Antena 3/5 Metro Digital Interna Externa Full Hdtv 4K Cabo Grande;"R$19,99";"13,7mil";"ZSZ_brasil";"3%";"R$0,60";"https://shopee.com.br/product/390307022/22197426569;"https://s.shopee.com.br/3fnXpXFX6T"
