Item Id;Item Name;Price;Sales;Shop Name;Commission Rate;Commission;Product Link;Offer Link
23092468920;Kit Estojo Material Escolar Maleta De Pintura Infantil 48 a 86 Peças Para Colorir + 6 Desenhos Dinossauro Unicórnio Meninas Carros de Desenhar Canetinha caneta papelaria giz de cera;R$23,99;600;PODIUM 1st COMÉRCIO;3%;R$0,72;https://shopee.com.br/product/337561944/23092468920;https://shope.ee/1qDCwPfDgg
23092436923;Lápis Grafite HB Astronauta Com Borracha Leo e Leo Material Escolar, Escritório;R$11,00;129;PAPER PLUS;3%;R$0,33;https://shopee.com.br/product/360093364/23092436923;https://shope.ee/1ftmk6fr1f
20198963902;Borracha Homem Aranha Molin / Papelaria  / Material Escolar;R$14,00;67;Papelaria Lords Gamer;3%;R$0,42;https://shopee.com.br/product/717443900/20198963902;https://shope.ee/2Aq3L1dx0m
18597402251;Borracha Fofa Infantil Divertida Unicornio Magic BRW | Magico | Colorido | Criativo | Desenho | Material Escolar | Fofura |;R$13,99;16;Papelaria Bybishop;3%;R$0,42;https://shopee.com.br/product/554666321/18597402251;https://shope.ee/20Wd8ieaLl
23096904684;Lápis de Cor Caneta Superfina Hidrocor Tris Vibes Material Escolar Arte;R$21,99;70;Gatinho de Glitter;3%;R$0,66;https://shopee.com.br/product/334849786/23096904684;https://shope.ee/2VStjdcgKs
22092379772;Kit Com 4 Canetas fofa Criativa Gel Bichinhos Personagens Animadas Diversas Promoção Infantil Natal Universitário Material Escolar;R$4,80;15;Panta_Shop;3%;R$0,14;https://shopee.com.br/product/318658790/22092379772;https://shope.ee/2L9TXKdJfr
22992413158;Regua Silicone Bracelete Bate e Volta Magic e Raptors BRW | Dinoussauro | Unicornio | Personagens | Divertido | Colorido | Magico | Desenho | 30cm | Material Escolar;R$24,68;11;Papelaria Bybishop;3%;R$0,74;https://shopee.com.br/product/554666321/22992413158;https://shope.ee/B4yxLlZ4S
23992408407;Box de Papelaria Fofo - Material escolar kit Fafa Kawaii;R$49,90;131;Papelaria Erudittas;3%;R$1,50;https://shopee.com.br/product/387497712/23992408407;https://shope.ee/lYl2mCPR
23396863638;Lápis De Cor Leo & Leo 24 Cores Formato sextavado Ponta resistente Não tóxico Material Escolar Multicolorido;R$17,50;472;AquiUtil888;3%;R$0,53;https://shopee.com.br/product/1070348055/23396863638;https://shope.ee/VhpLxkIOY
23796724596;12PCS/Set Marcadores Manga Caneta Agulha À Prova D'água Linha De Gancho Pintada Mão De Engenharia De Desenho Kawaii Arte Canetas Material Escolar;R$14,20;773;JooTaa.br;3%;R$0,43;https://shopee.com.br/product/972791209/23796724596;https://shope.ee/LOP9ekvjX
22591009975;JOURNAMM 6m * 6mm Fitas De Dupla Face Cola Fita De Bricolagem Rolo Para Material Escolar;R$8,55;768;journamm.br;3%;R$0,26;https://shopee.com.br/product/385545515/22591009975;https://shope.ee/qKfkZj1ie
20398605199;0,5mm/Refil/Recarga De Caneta Apagável Colorida Substituição Da/Material Escolar/Dia Dos Namorados;R$0,99;309;Yilan.br;3%;R$0,03;https://shopee.com.br/product/821740933/20398605199;https://shope.ee/g1FYGjf3d
21871293066;Angoo Casos Lápis Grande Capacidade Caixa Para Meninas Escritório Estudante Papelaria Organizador Material Escolar;R$27,99;142;material escolar.br;3%;R$0,84;https://shopee.com.br/product/715039115/21871293066;https://shope.ee/1AxW9Bhl2k
22495768826;46 Pcs My Old Books Sticker Diary Scrapbook Decoração Papel De Adesivos Diy Stickers Material De Escritório Escolar;R$5,93;230;jenny540118556.br;3%;R$0,18;https://shopee.com.br/product/721571154/22495768826;https://shope.ee/10e5wsiONj
