Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
21299556674,Arma Metralhadora blaster Lança Bolinhas De Gel Elétrica Pistola de gel blaster,"R$99,99",14mil,Booksy official Store ,7%,"R$7,00",https://shopee.com.br/product/332130069/21299556674,https://s.shopee.com.br/3fnDbcOGbA
8716065733,Kit Jogo De Ferramentas 200 Pcs C/Soquetes Chaves 0	5456 Titanium,"R$79,70","19,8mil",Destak Ferramentas,13%,"R$10,36",https://shopee.com.br/product/386938697/8716065733,https://s.shopee.com.br/3q6dnvNdGD
4783869773,Mini Video Game Portátil Sup C/ 400 jogos + 1 Controle para 2 jogadores Console,"R$38,99","25,1mil",ANJ.GG store,7%,"R$2,73",https://shopee.com.br/product/391739739/4783869773,https://s.shopee.com.br/3LAND0PXH8
18297687418,"Projetor 4K HD 150 Polegadas Celular, Tv B0x, Xbox, PS, Pc, Wifi HY300 Pro Magcubic Envio Imediato","R$269,49","34,1mil",LIULIU,7%,"R$18,86",https://shopee.com.br/product/1066052934/18297687418,https://s.shopee.com.br/3VTnPJOtwB
22393529508,Arma Metralhadora blaster Lança Bolinhas De Gel Elétrica Pistola de gel blaster,"R$89,99",7mil,TOP ELETRONICO STORE,8%,"R$7,20",https://shopee.com.br/product/909400500/22393529508,https://s.shopee.com.br/30XWoOQnx6
19299069610,I9 T900  Ultra Max Smart Watch 2.19 Tela HD Função Nfc Monitoramento de saúde,"R$63,50","7,1mil",GMT Shop,23%,"R$14,61",https://shopee.com.br/product/1097806806/19299069610,https://s.shopee.com.br/3Aqx0hQAc9
26905036432,Jogo De Vídeo Retrojogo SF900 Super Nintendo 5000 + 2 Controladores Sem Fio Para 8-Bit,"R$94,99","8,8mil",Choice Oficial,3%,"R$2,85",https://shopee.com.br/product/1006215031/26905036432,https://s.shopee.com.br/2fugPmS4d4
10864315121,NIIMBOT D110 Impressora de Etiquetas Inteligente Térmica Bluetooth sem Tinta para iOS Android.,"R$126,99","21,5mil",NiimBot.br,15%,"R$19,05",https://shopee.com.br/product/396453874/10864315121,https://s.shopee.com.br/2qE6c5RRI7
5799370012,100 LED Luminária Energia Solar Parede 100 Led Sensor Presença 3 Funções Lampada de Alta Luminosidade,"R$19,79",41mil,ONE LIGHT SHOP,77%,"R$15,24",https://shopee.com.br/product/305201598/5799370012,https://s.shopee.com.br/50IbC4JBtY
23996360752,Placa Pix Pagamento QrCode De Mesa Balcão c/ base - Acrílico,"R$21,90","54,7mil",Mundo corte Cnc,8%,"R$1,75",https://shopee.com.br/product/420265054/23996360752,https://s.shopee.com.br/5Ac1ONIYYb
22592796396,Refrigerador De Ar Ventilador Umidificador Portátil Com Led Reservatório De Água Led,"R$34,99","15,6mil",Tech Store 1,8%,"R$2,80",https://shopee.com.br/product/539790794/22592796396,https://s.shopee.com.br/4ffknSKSZW
22097698914,Console Portátil R36S + de 15.000 Jogos Vídeo Game 64g Linux Tela IPS 3.5 Polegadas a Pronta Entrega,"R$349,90","3,2mil",LIULIU,7%,"R$24,49",https://shopee.com.br/product/1066052934/22097698914,https://s.shopee.com.br/4pzAzlJpEZ
22235432364,Projetor De Luz Noturna Luminária Astronauta Projeto Galáxia Led Nebulosa Estrelado Com Controle,"R$63,80","9,2mil",Eterno-shop,10%,"R$6,38",https://shopee.com.br/product/728525193/22235432364,https://s.shopee.com.br/4L2uOqLjFU
23597477899,Fone de Ouvido Sem Fio Airpods PRO 3 Com Cancelamento De Ruído Bluetooth Pop-Up para iOS e Android,"R$67,80",14mil,Eliane Moreira da Silva,18%,"R$12,20",https://shopee.com.br/product/966159843/23597477899,https://s.shopee.com.br/4VMKb9L5uX
24532613487,Piscina Insuflável Dobrável Para Crianças Exterior Adultos De Jardim Festa,"R$268,34","5,1mil",Choice Oficial,3%,"R$8,05",https://shopee.com.br/product/1006215031/24532613487,https://s.shopee.com.br/40Q40EMzvS
23197416358,Parafusadeira/Furadeira 21V C/ Kit Maleta COM DUAS BATERIAS Kit de 28pcs,"R$117,90","12,6mil",Terra Celestial,13%,"R$15,33",https://shopee.com.br/product/480622455/23197416358,https://s.shopee.com.br/4AjUCXMMaV
23707678384,Videogame Stick 10mil 2 Controles Sem Fio Console  Portatil Jogos Retro Antigo,"R$99,99","83,5mil",ANJ.GG store,7%,"R$7,00",https://shopee.com.br/product/391739739/23707678384,https://s.shopee.com.br/10mSQiYQ0u
22793405622,Massageador Elétrico Profissional Muscular Pistola Portátil Original Massagem,"R$34,99",15mil,Summer Comercio,13%,"R$4,55",https://shopee.com.br/product/719816460/22793405622,https://s.shopee.com.br/1B5sd1Xmfx
22297853725,Kit 1/2/3/4 Câmeras A9 HD Mini com visão noturna Wifi Câmera 1080P Vigilância,"R$20,78","5,2mil",ONE LIGHT SHOP,77%,"R$16,00",https://shopee.com.br/product/305201598/22297853725,https://s.shopee.com.br/g9c26Zggs
19287344380,Central Multimídia MP5 Automotiva Bluetooth 1 Din 7 Polegadas USB/AUX/TF Com Mirrorlink Touch Screen,"R$163,68","15,7mil",Value Choice,7%,"R$11,46",https://shopee.com.br/product/230709939/19287344380,https://s.shopee.com.br/qT2EPZ3Lv
22091379150,"Kit 3 Camisa, Camiseta Plus Size Jesus Cruz Logo Religiosa Evangélica 100% Algodão","R$118,90",445,VIRTUOSA FASHION,13%,"R$15,46",https://shopee.com.br/product/322886378/22091379150,https://s.shopee.com.br/LWldUaxMq
22293066756,ESPELHO GRANDE RETANGULAR CORPO INTEIRO 1 METRO P/ SALA QUARTO BANHEIRO - SUPORTE E DUPLA FACE,"R$103,90","6,6mil",Loja Lopazzi,15%,"R$15,59",https://shopee.com.br/product/831755482/22293066756,https://s.shopee.com.br/VqBpnaK1t
22992945609,Capa Para Colchão Impermeavel Matelado Com Elastico,"R$23,90","236,5mil",icasa ibitinga,10%,"R$2,39",https://shopee.com.br/product/300779622/22992945609,https://s.shopee.com.br/tvEscE2o
23493533429,Arma Gel Bolinha De Gel Metralhadora AK47/M416 Elétrica Automática,"R$97,50","5,9mil",Mega TechStore,7%,"R$6,83",https://shopee.com.br/product/872424585/23493533429,https://s.shopee.com.br/BDLRBbahr
23792648370,Porta Condimentos Temperos Giratório Potes Vidro Tampa Dosadora Preto,"R$50,90","29,5mil",CasaAzul-Utilidades,8%,"R$4,07",https://shopee.com.br/product/984845442/23792648370,https://s.shopee.com.br/2LHq1ATLJI
9987415279,Kit Whey Protein Fusion + Bcaa + Creatina + Shaker,"R$79,90","33,1mil",Espartanos Suplementos,13%,"R$10,39",https://shopee.com.br/product/446247790/9987415279,https://s.shopee.com.br/2VbGDTShyL
6278363203,Mini Ar Condicionado Portátil Arctic Air Cooler Umidificador Climatizador Luz Led,"R$50,99","16,2mil",DAFUSHOP_brasil,9%,"R$4,59",https://shopee.com.br/product/328666563/6278363203,https://s.shopee.com.br/20ezcYUbzG
19168309633,Original Apple Watch Ultra Série 8 SmartWatch Relógios Inteligentes Masculinos E Femininos Chamada Bluetooth ip68 À Prova D'água Carregamento Sem Fio Personalizado,"R$155,00","3,8mil",Apple iwatch Series9 ultra2 air max,13%,"R$20,15",https://shopee.com.br/product/324741794/19168309633,https://s.shopee.com.br/2AyPorTyeJ
21899192645,Kit 10 Potes Vidro Hermético 1040ml Retangular 4 Travas Marmita Premium,"R$73,97","4,6mil",UnyMix Home,10%,"R$7,40",https://shopee.com.br/product/811924245/21899192645,https://s.shopee.com.br/1g29DwVsfE
22620053025,Kit 3 Sapatênis Masculino Casual Tênis Polo Fran + Relógio Carteira Cinto- London,"R$99,90","11,3mil",Falcucci_,8%,"R$7,99",https://shopee.com.br/product/341594413/22620053025,https://s.shopee.com.br/1qLZQFVFKH
20097432512,Aspirador De Pó E Liquido Automotivo Portátil Turbo Potente 90w 12v,"R$119,90","2,6mil",Rhino Auto Parts,13%,"R$15,59",https://shopee.com.br/product/655402127/20097432512,https://s.shopee.com.br/1LPIpKX9LC
11720146857,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,"R$19,99","115,6mil",DAFUSHOP_brasil,9%,"R$1,80",https://shopee.com.br/product/328666563/11720146857,https://s.shopee.com.br/1Vij1dWW0F
19238157811,Seladora à Vácuo para Armazenar Alimentos Domésticos,"R$39,99","13,6mil",DAFUSHOP_brasil,9%,"R$3,60",https://shopee.com.br/product/328666563/19238157811,https://s.shopee.com.br/8zojxQ3xmi
19997613607,Lavadora De Alta Pressão Lav1300 Libras Vonder 1.300lbf,"R$312,90","15,1mil",Domus Ferramentas,7%,"R$21,90",https://shopee.com.br/product/445163047/19997613607,https://s.shopee.com.br/9A8A9j3KRl
22897053962,Kit Com 3 Camisetas Masculinas Básicas Slim Hering,"R$89,99","16,3mil",Hering_Oficial,33%,"R$29,70",https://shopee.com.br/product/1024179833/22897053962,https://s.shopee.com.br/8fBtYo5ESg
18799259829,Projetor Portátil Android 11 Smart  Wifi 6 Bluetooth 5.0 1080p,"R$269,89","12,2mil",Tech Store 1,8%,"R$21,59",https://shopee.com.br/product/539790794/18799259829,https://s.shopee.com.br/8pVJl74b7j
19698593622,Lavadora Lava Copos Automático de Pia Taças e Coqueteleira Cozinha Bar,"R$21,99","3,2mil",DAFUSHOP_brasil,9%,"R$1,98",https://shopee.com.br/product/328666563/19698593622,https://s.shopee.com.br/8KZ3AC6V8e
22497329918,Aspirador De Pó Usb Portátil Completo Linha Premium Carro E Casa 2000mAh,"R$27,98",16mil,Summer Comercio,13%,"R$3,64",https://shopee.com.br/product/719816460/22497329918,https://s.shopee.com.br/8UsTMV5rnh
23793218493,Kit Pano de prato GRANDE estampado 100% algodão pano de copa grande master chef,"R$21,97","2,4mil",Az. Home - Pano de prato atacado,33%,"R$7,25",https://shopee.com.br/product/648098895/23793218493,https://s.shopee.com.br/7zwCla7loc
22496096345,Penteadeira 50x30 Escrivaninha Suspensa Organizadora Maquiagens Quarto 100% MDF,"R$94,90",2mil,Ambientare Móveis,18%,"R$17,08",https://shopee.com.br/product/296130185/22496096345,https://s.shopee.com.br/8AFcxt78Tf
18499335464,"Kit Jogo de Cozinha Silicone, Utensílios e Copo Suporte para Cozinheiro Cabo de Madeira MasterChef","R$19,27","15,7mil",Eterno-shop,11%,"R$2,12",https://shopee.com.br/product/728525193/18499335464,https://s.shopee.com.br/AKK7Xryt56
23797425282,Ferramentas 46 Peças Jogo De Soquetes Chave Catraca Reversível  Com Maleta Jogo De Ferramentas Completo,"R$34,64","22,5mil",Welian GL,7%,"R$2,42",https://shopee.com.br/product/388412677/23797425282,https://s.shopee.com.br/AUdXkAyFk9
